"store","id","original_ean","original_name","original_description","current_price","promo_price"
aurrera,d0d9bcae-446c-40e0-a3b8-fc4c620e727f,"7500417723415",Playera Spiderman  para Niño Cuello Redondo Manga Corta Diseño Miles Morales Blanca Talla 4,"Disfruta de la comodidad de la playera para niño de Spiderman -Cuello redondo -Textura Suave -Estampados de Moda -Se ajusta al cuerpo -Un diseño fácil de vestir -Encuentra los diferentes colores que tenemos para ti. Recuerda que ya puedes realizar tus compras en nuestra tienda en línea, donde encontrarás todo lo necesario para tu día a día. Compra lo que necesites y recíbelo hasta la puerta de tu casa, pues contamos con nuestro servicio de entregas a domicilio.Estampados De Tus Personajes Favoritos,Diferentes Técnicas De Estampado,Algodón Suave,Playera cómoda y casual para niño con estampado cool y original,fácil de combinar con tus mejores atuendos,Diseñado para una experiencia súper cómoda, nuestras telas son de la más alta calidad, lo que se traduce en una suavidad superior y mayor resistencia al uso cotidiano y lavado. Consulte Política de Devoluciones. No aplica con prendas de uso personal.",$95.00,$95.00
aurrera,"21d64288-c8ab-4664-9d0d-9996bd4b7d2e","123456789272",Bouquet mixto   chico,"Disfruta la belleza de la naturaleza en tu hogar.  - Sigue las recomendaciones de cuidado - No las exponga a los rayos directos del sol ni las exponga a corrientes fuertes de aire - El color puede variar según la temporada y disponibilidad en tienda   ¡Recoge en tienda o recibe a domicilio tus productos favoritos de nuestro catálogo online!Ideal para decorar tu hogar,Para esa ocasión especial,Aroma natural",$89.00,$89.00
aurrera,"21389dca-9a95-45a3-b599-8e5d65323fe1","55773077896",Papas a la francesa Valley Farms  corte delgado 500 g,"Acompaña tus alimentos favoritos con las deliciosas papas a la francesa Valley Farms corte delgado, al cocinarlas tendrás una textura increíble, son buenas como guarnición con hamburguesas, hot dogs, milanesas, o el platillo que desees, agrégales un poco de queso y salsa de tomate, quedarás encantado.   - Sin grasas trans  - No contienen colesterol - Contienen proteínas  - Papas naturales   ¡Realiza todas tus compras en nuestra tienda en línea desde la comodidad de tu hogar y recoge en tienda o recibe a domicilio tus productos favoritos!Ideal para freír en aceite o freidora de aire,Fácil de hacer,Disfrutalas con tu aderezo favorito",$50.00,$50.00
aurrera,"2acacd75-3735-4067-a696-1ce1c3e520ee","7501175199573",Chilorio Kowi  pierna de cerdo 250 g,"Disfruta de un platillo delicioso con el Chilorio Kowi pierna de cerdo 250 g, es un producto certificado por higiene y sanidad, además de ser inspeccionado y aprobado por Sagarpa. Realza el sabor en tu paladar, es un elemento que ya viene cocido y listo para calentar y degustar, acompáñalo con tu bebida favorita, con familiares y amigos. Mantenlo en refrigeración de 0 a 4°C.",$49.00,$49.00
aurrera,e4e530ae-2200-4e6c-912d-7983c801a88a,"7500539256990",Mochila Ruz Jurassic Park Juvenil Niño 1 Pieza,"Encuentra los mejores artículos de papelería a unos clics de distancia.   Recuerda que ya puedes realizar tus compras en la tienda en línea, donde también encontrarás todo lo necesario para tu día a día o para surtir la despensa de tu hogar. Compra lo que necesites, con nuestro servicio de entregas a domicilio tus compras llegarán hasta la puerta de tu hogar.Ve a clases con toda la energia con tu nueva mochila Ruz distinguida por sus colores vivaces y diseño divertido,Fabricado con materiales de alta calidad para brindar excelente resistencia y confort,Múltiples compartimentos interiores y exteriores,Tamaño perfecto y con múltiples compartimentos,Correas ajustables para mayor comodidad y ajuste, las correas de la mochila están acolchadas y ajustables, por lo que la mochila crecerá con el niño sin ser demasiado grande para sus hombros. Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: 3 meses directo con el proveedor.  Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$749.00,$749.00
aurrera,"7abae0e0-5bdc-4f9c-b509-ad2bd3ed6213","7500916002509",Mouse Inalámbrico Select Power  M02-SPB,"Encuentra gran variedad de artículos y accesorios de cómputo con distintas características que se ajusten a tus necesidades a solo unos clics de distancia.   Recuerda que ya puedes realizar tus compras en la tienda en línea, donde también encontrarás todo lo necesario para tu día a día o para surtir la despensa de tu hogar. Compra lo que necesites, con nuestro servicio de entregas a domicilio tus compras llegarán hasta la puerta de tu hogar.Diseño ergonómico, puedes llevarlo con tranquilidad en cada lugar que quieras,Alta precisión,Navega desde tu computadora en casi cualquier superficie con precisión y control Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: 5 años con el proveedor por defecto de fabricación.   Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$149.00,$149.00
aurrera,"69ecb19c-c45c-4f19-9814-a06279d85c7d","7891010254865",Gel de limpieza facial Neutrogena Deep Clean Intensive piel mixta a grasa 60 g,"Neutrogena Deep Clean Intensive limpia profundamente los poros, ayudando con las impurezas y los aceites de la piel.  - Su fórmula que combina el activo beta-hidróxido - El extracto natural de pomelo, deja tu piel limpia y fresca, todos los días - Ideal para piel mixta a grasa  Descubre los artículos que tenemos para el cuidado y bienestar de tu piel en la tienda en línea, elige tus favoritos y llévatelos a casa con unos cuantos clics. Recuerda que contamos con servicio de envío a domicilio y Pickup, así como diversas formas de pagos.Limpia profundamente los poros,Uso diario,Agrégalo a tu rutina de skincare",$113.00,$113.00
aurrera,"7ca479f9-144a-4122-abeb-4dfb61a4f359","8410010240167",Aceitunas verdes Carbonell  rellenas de pasta de pimiento 180 g,"Para conservar una alimentación balanceada.   - Es ideal complementar tus recetas de cocina con elementos que  - Además de nutrirte, le den un sabor y toque muy especial - Fácil de usar    Ahora puedes realizar tus compras de este y otros productos en tu tienda en línea donde encontrarás lo necesario para tu día a día. Recuerda que, con nuestro servicio de entregas a domicilio, tus compras llegarán hasta la puerta de tu hogar.Ideal para darles un sabor especial a las comidas,Fácil de combinar con tus platillos favoritos,No pueden faltar en tu lista de compras",$25.00,$25.00
aurrera,a3650b4a-9822-4c2f-96c8-28de4b433d26,"74451125070",Juguete Bright Starts  Piano de Asa,"Fiestas y bailes en la palma de la mano con el piano de asa de Brights Starts. A tu bebé le encantará tocar música y descubrir los números con tan solo tocar sus enormes teclas.   - Al tocar sus botones empezará a sonar música o divertidos sonidos - Sus luces proporcionarán aún más momentos de diversión - Cabe perfectamente en cualquier bolsa de bebé, para que puedas llevártelo contigo a todas partes   Compra este y más artículos en nuestra tienda en línea y descubre el amplio catálogo online que tenemos disponible para ti. ¡Ya contamos con Pick Up!Asa hecha expresamente para que las manitas de un bebé puedan tomarlo,Colorido,Musical Sólo aplica para productos vendidos por Walmart/Bodega Aurrera:    No Aplica  Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$189.00,$189.00
aurrera,"936594b0-8b12-4dee-8d15-f36af5d16c7c","885306430382","Bóxer Ajustado Fuit Of The Loom  para Hombre, Básico de Algodón Pack 4 Piezas Multicolor Talla CH","Disfruta de gran libertad de movimiento con este paquete de 4 bóxer en tonos azules.                                                                                                       - Cuenta con etiqueta estampada para no lastimarte. - Su elástico afelpado es muy suave con tu piel. - Bragueta anatómica que proporciona un soporte cómodo.                                                                                                                                        ¡No esperes más para agregarlo a tu guardarropa! Compra artículos de ropa interior en Despensa Bodega Aurrera en línea, tenemos los mejores bóxer, brasieres y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Elaborado en fresco algodón premium, que te mantiene fresco y seco,Suave elástico durable en la cintura,Colores vibrantes y comodidad garantizada,Etiqueta estampada para mayor comodidad,Ajuste Firme en Pierna,Ajuste debajo de la cintura para mejor comodidad,Elástico afelpado que brindara más confort al vestir,Ropa interior para hombre fabricada con telas súper suaves,Diseño clásico de ropa interior para hombre; Diseño que se amolda a tu pierna, permanece en su lugar y no se enrolla. Consulte Política de Devoluciones. No aplica con prendas de uso personal.",$219.00,$219.00
aurrera,"8df0f6ab-710b-4fd4-b48f-6b8b3732c5c2","7500564261334",Playera Polo Simply Basic  Talla G Manga Corta Lisa Cuello de 3 Botones Azul Marino,"Descubre la perfecta combinación de estilo y confort con nuestra Playera Polo Simply Basic. Disponible en talla G y en un sofisticado tono azul marino, esta prenda redefine la elegancia casual.  - Agrega un toque de distinción a tu atuendo con el cuello plano de punto acanalado, que proporciona un estilo clásico y atractivo. - Experimenta la suavidad y la adaptabilidad gracias a los tejidos de alta calidad que brindan un ajuste cómodo y favorecedor. - La solapa frontal con botones añade un elemento de sofisticación, permitiéndote personalizar tu estilo y mantenerte fresco con facilidad. - Fabricada con tejidos suaves y transpirables, esta playera asegura comodidad durante todo el día, adaptándose a tu ritmo de vida.  Elige la talla chica y sumérgete en la elegancia del azul marino. Haz clic ahora y eleva tu guardarropa con la Playera Polo Simply Basic. Experimenta la perfecta armonía entre moda y comodidad.  Compra ropa para caballero en Despensa Bodega Aurrera en línea, tenemos los mejores artículos como pantalones, chalecos y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Tacto suave y cómoda,3 botones en cuello,Manga corta Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$169.00,$169.00
aurrera,"86872f19-756d-4a90-af93-98e21b5863f4","194422139322",Pantalón Fuit Of The Loom  Talla EG Tipo Jogger Café Claro,"Disfruta de la comodidad del pantalón deportivo jogger para dama de la marca Fruit of the Loom - Máxima Comodidad - Textura Suave y cómoda  - Ajustable de la Cintura - Cordones en la cintura - Encuentra los diferentes colores que tenemos para ti.  Recuerda que ya puedes realizar tus compras en nuestra tienda en línea, donde encontrarás todo lo necesario para tu día a día. Compra lo que necesites y recíbelo hasta la puerta de tu casa, pues contamos con nuestro servicio de entregas a domicilio.Diseño básico,Bolsas en costados,Tacto suave,Ajustable a tu figura,dos bolsas laterales,Cómoda cintura elástica con costuras reforzadas,Parte inferior con puños para un look relajado pero moderno,Etiqueta estampada para mayor comodidad,Ideal para el gimnasio, yoga, correr, caminar, senderismo, tenis, baile, crossfit, deportes, y mucho más, estas bonitas camisetas son perfectas para cualquier ejercicio o actividad. Son ideales no solo para un estilo de vida activo, sino también para uso diario. Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$159.00,$159.00
aurrera,"6e9d4d47-a347-4545-8f3d-9a37b61fc12a","41554433470",Base de maquillaje Maybelline New York Fit Me! matte + poreless 220 natural beige 30 ml,"Cobertura total,Acabado uniforme,Fácil de aplicar,Práctico de llevar en tu bolsa",$229.00,$229.00
aurrera,"5df023d1-08d8-49f3-a42e-b75c2f0760c9","619470637557",Peluche de San Valentín Way to Celebrate  Koala con Corazón 18 cm Morado,"Sorprende a tu pareja este Día de los enamorados con este tierno Peluche de Way to Celebrate. Será el detalle perfecto si buscas un regalo para tus seres queridos, para tus amigos o esa persona tan especial para ti. Celebra el Día del Amor y la Amistad y haz del 14 de febrero una fecha inolvidable con toda la gama de productos que tenemos para ti.  Haz tu pedido, prográmalo y recíbelo en casa o recógelo en tienda. Contamos con distintas formas de pago para que elijas la que más te convenga.El regalo perfecto,La mejor opción para festivales,Edades 3+ Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: 30 días en tienda. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$84.00,$84.00
