"store","id","original_ean","original_name","original_description","current_price","promo_price"
Casa Ley,ded283f7-6fb2-4ccf-83c5-28c6457e805d,"7501002201653",Queso oaxaca zwan 400 gr,"",$112.90,$89.00
Casa Ley,"49b776ad-284d-4474-915c-04010af56050","7501025403485",Aceite de pino pinol  828 ml,"",$24.90,$0.00
Casa Ley,"47ef8718-a40d-445d-8989-808ca7335649","7501026005305",Jabon liquido biodegradable azul zote 1 lt,"",$44.50,$0.00
Casa Ley,b0ff4a2d-ae9d-401d-b40b-2e220cef9785,"7502263602555",Pintura blanca 18l vinipaint 1 pz,"",$349.90,$0.00
Casa Ley,adb00f65-7fa0-4edf-8f77-7a287228c45e,"7501608100053",Queso puro monterey jack nerys 400 gr,"",$103.50,$0.00
Casa Ley,d4d807e4-767b-4a5f-89e6-56b87018ca09,"7791293990569",Antitranspirante aerosol caballero active dry rexona 89 gr,"",$70.90,$0.00
Casa Ley,"0dde73b0-8f40-4c75-b51d-4900248a35eb","0251909000000",Queso tipo gouda quesadilla bafar 1000 gr,"",$286.90,$179.90
Casa Ley,d3aca39c-82bb-4740-8044-d59a7d0ba7e0,"7503015074354",Cafe caracolillo con azucar combate  500 gr,"",$132.00,$0.00
Casa Ley,bd947320-29cf-47f3-80cf-82c5e44b1c60,"0074714086216",Tiras de tortilla tex mex 80 gr,"",$49.90,$0.00
Casa Ley,"4183311d-d722-4e00-80a9-90a6ba7477cb","7506443101036",Yoghurt batido griego coco oikos 900 gr,"",$106.00,$95.95
Casa Ley,"18394586-fcc1-45a7-aa33-71f5242b76e1","7501032398446",Yoghurt griego batido natural oikos 900 gr,"",$106.00,$95.95
Casa Ley,"4735286b-692a-4c21-bc2d-c6641311c99c","2000038234734",Limpiador lavanda ley  1 lt,"",$21.50,$0.00
Casa Ley,c9f0040d-3e50-40f3-9dcb-6d6816a3ef70,"7503015074057",Cafe tostado en grano combate  250 gr,"",$51.50,$0.00
Casa Ley,"8596ea21-fe7e-4ae5-8b09-812ad74adf36","0047400179660",Cartucho gillette mach3 4 pz,"",$249.00,$199.00
Casa Ley,"2e0e39d8-b960-4077-8ef3-454640b70e7d","7502216800984",Acemetacina 90mg ultra 14 cp,"",$129.90,$0.00
Casa Ley,c1875661-977b-40ef-8253-039d7a91aade,"0008400000026",Acetadiazol 250mg 30 pz,"",$698.86,$447.27
Casa Ley,fd24685f-fc2b-4c42-9bc6-b2a097e1c62d,"7501054163916",Delineador de cejas abundantes tono castaño renova 13 ml,"",$155.90,$0.00
Casa Ley,fbd69c8f-60bd-4177-9ba9-4eafef5fae79,"7501125118333",Amoxiclav bid 875mg 14 pz,"",$534.45,$416.87
Casa Ley,"942583e0-e34d-4c54-9e1c-149871b497f9","0000075079505",Yoghurt griego cereza lala 120 gr,"",$11.95,$0.00
Casa Ley,"84ef677c-4a36-4828-9599-b29382ed8552","7503028769407",Juguete para perro vinil nandog 1 pz,"",$84.90,$0.00
Casa Ley,"0e7a124b-8336-4d37-880e-1b971b703b9e","7501016745068",Cafe tostado molido sin azucar marino 250 gr,"",$64.90,$0.00
Casa Ley,"91a3ceb9-7904-422f-b282-c3646b5a2774","7501040095979",Yoghurt griego coco sin azucar yoplait 1 kg,"",$106.00,$98.90
Casa Ley,"7ffb9e62-36f1-4541-a73e-56be2f4365f6","7500435160933",Detergente en polvo multiusos salvo 2 kg,"",$95.00,$69.90
Casa Ley,"6158f8f7-72c1-4fd8-b695-e54dd1f4bf22","7501058716651",Limpiador multiusos citrico lysol 5 lt,"",$160.00,$0.00
Casa Ley,"984f8dae-109f-4d27-9830-28ac38724ae6","7502277100054",Cafe tostado y molido coatepec veracruz aviles 400 gr,"",$99.90,$0.00
Casa Ley,"38a4e1fe-0cf6-4385-9bb2-5826b0562465","2050000034589",Limpiador multiusos de pino ley  3.785 lt,"",$72.90,$0.00
Casa Ley,"3ea28e2d-cabe-4367-907d-ee08a2b8a8db","7501030461289",Galleta chocolate suavicrema marinela 300 gr,"",$32.50,$0.00
Casa Ley,"0575f922-0c83-4aeb-870c-e48840127dce","7503038364470",Delineador tintaline para ojos 06 azul claro bissu 28 gr,"",$69.90,$0.00
Casa Ley,"1459bf82-7563-47b5-88cd-4a98f140c3af","7501040095986",Yoghurt griego fresa sin azucar yoplait 1 kg,"",$106.00,$98.90
Casa Ley,"7ffc0029-0405-4d75-a22d-d48fb5f9d99d","0031534102007",Cafe tostado y molido puro el marino  369 gr,"",$126.90,$0.00
Casa Ley,"64920817-6d82-43b1-88c1-c55c9e73d383","7502250050093",Helado de melon chente 500 ml,"",$55.90,$42.90
Casa Ley,a14144c4-5943-4b69-a731-a456e2c2f302,"7501025440299",Limpiador multiusos lavanda flash  1 lt,"",$18.90,$12.90
Casa Ley,"4c919f08-e29e-423f-940a-dd76593c89fe","7501016745051",Cafe tostado y molido puro marino  454 gr,"",$149.50,$0.00
Casa Ley,"7aaa53a7-499a-494c-8cac-cf566f8b6973","7503028769209",Juguete para perro vinyl chuleta nandog 1 pz,"",$39.90,$0.00
Casa Ley,"01db37fd-c55d-483d-9a6d-e7e6f01c8bc3","0000075079512",Yoghurt griego frutos amarillos lala 120 gr,"",$11.95,$0.00
Casa Ley,acd6a32b-01ec-45bc-aed4-ae807658a20b,"0070330505230",Corrector cinta bic 1 pz,"",$59.90,$0.00
