"store","id","original_ean","original_name","original_description","current_price","promo_price"
heb,"5883bec0-61df-4a9f-bf51-0f24253f5ecc","7506250906657",Control Remoto Universal Inteligente RM-1200,"Se perdió o se te dañó tu control remoto, es viejo y no cambia los canales. El control inteligente es para ti, ya que cuenta con la característica de que una vez que se configura no perderá la memoria cuando se quede sin energía por lo que no presentará dificultades en caso de que se tengan que cambiar las baterías. Controla las funciones básicas del televisor como son   canal +/- , volumen +/- , silencio, canal previo, selección de entrada de video, encendido y  apagado, apagado automático, Picture in Picture  y  búsqueda de canales numérica.Funciona con 2 baterías AAA no incluidas.",$89.00,$89.00
heb,a446b45d-f733-4d86-9557-53dd9fe43ad1,"0730002005344",Juego de Mesa Fm Juego de Mesa Divertilandia 1 Pz,"",$199.00,$199.00
heb,f2927385-fcef-4963-8908-1488b328486b,"0194735026630",Pokémon Ruinas Olvidadas 1 Pz,"Construye ruinas antiguas y olvidadas para las figuras de Cubone, Charmander y Omanyte con las que puedes interactuar. ¡Explora las ruinas con funciones interactivas: pide a Charmander que inicie un incendio o juegue a las escondidas con Omanyte y Cubone en los arbustos! El set se combina con otros sets Adventure Builder para crear un mundo Pokémon expandido lleno de detalles diseñados de manera auténtica. Revisa Pikachu s Beach Splash, el Forest Trek de Bulbasaur u otros sets más grandes. Cada uno se vende por separado. Los juguetes de construcción MEGA Pokémon están diseñados para edades de 7 años en adelante",$999.00,$999.00
heb,"7ff4b2a5-40c9-4ac9-b4df-73e864c59b44","7590002043936",Pepto-Bismol Comprimidos Antidiarreicos con 24 pz,"  Descripción EmocionalAlivia la acidez, la indigestión, el malestar estomacal, las náuseas y la diarrea con comprimidos sabor original. Tipo de producto Medicamento   Marca Pepto-Bismol   Denominación/Variedad Sin sabor       Contenido neto 24 comprimidos   Formato Comprimidos   Instrucciones de uso Adultos: 2 comprimidos. Tragar dosis con agua, sin masticar. Tomar hasta que la diarrea desaparezca pero no por más de 2 días   Beneficios de uso Calma la irritación con su acción protectora sin causar estreñimiento. Proporciona alivio efectivo y seguro para la indigestión. Alivia el malestar estomacal causado por sentirse pleno. Alivio efectivo de la náusea producto de indigestión. Controla la diarrea en 4 a 24 horas   Advertencias de uso No utilizar este medicamento si padece úlceras sangrantes, insuficiencia renal, hemofilia o hipersensibilidad a los salicilatos. No usar este medicamento para tratar nauseas o vómito en niños o adolescentes que tengan o se estén recuperando de varicela o gripe. Si también está tomando ácido acetilsalicílico y se presenta zumbido de oídos, suspenda su uso. No lo tome si es alérgico al ácido acetilsalicílico. No administre a niños menores de 6 años. Consulte a su médico antes de usarlo: Si esta tomando anticoagulantes o tetraciclina, si tiene diabetes, gota, fiebre elevada o si la diarrea persiste, en embarazo lactancia, antes de darlo a niños o adolescentes con o que recién hayan tenido varicela o gripe   Porción sugerida 2 comprimidos   Ingrediente activo Subsalicilato de bismuto 262.5 mg   Unidades por paquete 24   ",$181.00,$181.00
heb,"553635cb-cc39-4627-9d98-784da6143982","7501483173357",Decodificador de TV digital para canales HD 208-900,"Que tu televisor analógico no sea obsoleto ¡No te quedes fuera de la alta definición!

Recibe canales HD en tu TV análoga
Tu TV vieja seguirá sirviendo después del apagón analógico
3 salidas A/V: RF, video compuesto o HDMI
Salida RF para conectar una antena
Tiene función de DVR para que grabes tus programas favoritos
Incluye un cable RCA de A/V&nbsp;
",$599.00,$599.00
heb,d66c92c4-f928-4ec0-a250-1176a795b65a,"7503006336072",ALIMENTO PARA PERROS PRO NUTRITION 25KG WOOW WE25,"Alimento para perro, formulado para cubrir todos los requisitos nutricionales naturales.
Mantengalo en un lugar seco y fresco..","$1,199.00","$1,055.12"
heb,f84a1067-9657-4b59-8123-4cf9a265a76b,"7503006337024",ALIMENTO PARA PERROS CACHORRO 10K WOOW WC10,"Alimento para perro, formulado para cubrir todos los requisitos nutricionales naturales.
Mantengalo en un lugar seco y fresco.",$879.00,$773.52
heb,"338ee560-aa22-4ba9-afd4-831eeb188ca4","7503006337086",ALIMENTO PARA PERROS CACHORRO 3K WOOW WC3,"Alimento para perro, formulado para cubrir todos los requisitos nutricionales naturales.
Mantengalo en un lugar seco y fresco.",$449.00,$395.12
heb,"507fb3d3-7fc6-4743-baac-4cba3697887a","7506250908606","Control remoto universal para aire acondicionado, con termómetro RM-500","¡El sustituto ideal de tu control remoto original!

Este control remoto universal cuenta con códigos de programación para la mayoría de los aparatos de aire acondicionado, ya sean tipo mini split o de ventana.&nbsp;

Mantiene la misma funcionalidad que el control original para los ajustes principales de tu sistema, además de ofrecer funciones adicionales como Timer (programación de horarios de encendido y apagado), y medir la temperatura en grados centígrados o Fahrenheit.

Incluye un soporte para colgarlo en la pared.",$395.00,$395.00
heb,dcea34f9-b44a-4177-81ca-9595a23c8718,"7501483195182",Control Remoto Universal RM-11,"Control remoto multifunción universal para TV o Pantallas (LCD,Plasma y convencionales) DVD, CBL/SAT (satélite y cable) DVR/AUX (sistemas auxiliares). Posee 3  formas fáciles de programar, modo de busqueda por marca, busqueda automática y programación por codigos,compatible con la mayoría de los modelos de TV. Cuenta con un botón de iluminación.Utiliza 2 baterías AAA (no incluidas).&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",$109.00,$109.00
heb,"9d17e77f-806f-4b5d-b663-4591e4a5144c","0041220568536",HCF Pañuelos Faciales Desechables de Viaje 8 pz Pañuelos Faciales Desechables de Viaje 8 Pz,"   Tipo de producto Pañuelos faciales   Marca Hill Country Fare   Denominación/Variedad De viaje       Advertencias de uso Para evitar el riesgo de asfixia, mantener la bolsa plástica alejada de bebés, niños y mascotas   Unidades por paquete 8   ",$69.90,$69.90
heb,"607762cb-0ce1-4841-a730-ca10857aedc3","9786070744242",Libro Don Abundio El del Potrero 1 Pz,"   Tipo de producto Libro   Título Don Abundio el del Potrero   Autor Armando Fuentes Aguirre Catón   Editorial Diana       Edición 2017   Reseña Un libro entrañable que reconfortará tu corazón. Don Abundio tiene edad de siglos y es el prototipo del ranchero mexicano. Es dueño de una sabiduría innata que heredará a sus hijos y sus nietos. Socarrón es su saber, tan práctico y positivo como él. En sus palabras y obras, el lector encontrará los trazos y trazas de Berceo, de Timoneda, del conde Lucanor. El ingenio y los dichos de tan singular personaje han sido hábilmente atesorados por Armando Fuentes Aguirre, Catón, en un florilegio de refranes campiranos, humor e historias sobre esas cosas de la vida pero también otras de la muerte, su inseparable compañera. Tú que lees esto, y yo que esto escribo, tenemos la desdicha de vivir en la ciudad. Hemos perdido el contacto con la tierra. Eso nos quita fuerza de alma y cuerpo. Si regresamos a ella, siquiera sea en la lectura, regresaremos a nosotros mismos. Catón   Número de páginas 252   ",$198.00,$198.00
heb,c47acebf-4b75-42f6-9413-93065fc549b9,"0655244040888",Rompecabezas con Marco Spidey 60 Piezas Caja de C 1 Pz,"",$159.00,$159.00
heb,"1020236b-7bd0-4219-a20f-f031dcfbff83","7503006698316",More Pharma Microdacyn 60 Sodio + Cloro 120 ml,"   Tipo de producto Antiinfeccioso   Laboratorio More Pharma   Nombre del medicamento Microdacyn       Contenido neto 120 ml   Vía de administración Vía tópica   Formato Líquido   Registro sanitario 1540C2011 SSA VI   Legal La venta de medicamentos requiere receta médica, consulte a su médico   Advertencias de uso No se recomienda su uso durante el embarazo y la lactancia   Ingrediente activo Hipoclorito de sodio. Ácido hipocloroso. Cloro libre   Unidades por paquete 1   ",$204.00,$204.00
heb,"1fca2680-e34b-498c-b7b9-3568ab8e2f4c","7501089804310",Recoveron N Neomicina Tubo con 40 g,"

Tipo de producto
Cicatrizante
Laboratorio
Armstrong Laboratorios
Nombre del medicamento
Recoveron-N 40 G Acexamico De Sodio
Contenido Neto
40 g
Vía de administración
Tópico
Formato
Unguento
Ingrediente activo
Acido Acexamico
 
Consulta a tu médico. Evita automedicarte",$466.00,$466.00
heb,"22c9eb3d-1be2-4b63-84e0-48f5142dc14b","0655244040901",Rompecabezas 4 en 1 Warner Th100 Caja de Cartón 1 Pz,"",$215.00,$215.00
heb,f2ac11ce-796b-4f77-ab6a-88103966592c,"7501483155216",Control Remoto Universal  8 en 1 RM-8,"Puede controlar la mayoría de las marcas de televisión, videocassetteras, VCD/DVD, LCD/CD, auxiliar y televisión de paga. Maneja hasta 8 equipos simultáneamente, incluye las funciones principales como Mudo (Mute), Menú y Timer. Cuenta con 2 métodos de programación la rápida mediante los códigos descritos en el istructivo y la de busquedá automática del control a su TV.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",$149.00,$149.00
heb,"82cbb8f4-1985-428c-a5ac-e79e8cf4345e","7506250941009",Control Remoto Universal Rm-1002rs 1 Pz,   Tipo de producto Control remoto   Marca Steren   Modelo Universal RM-1002RS       Compatibilidad Televisión. Pantallas LCD. LED. Plasma   Alto 25.5 cm   Ancho 10.5 cm   Color Surtido   ,$134.00,$134.00
heb,b66c2836-a158-4aad-a7b8-ae81ec614de1,"0021664571156",Vehicles Fire Ladder Truck 1 Pz,'' 'VEHICLESFIRE LADDER TRUCK',$749.00,$749.00
heb,"12d7cd50-546f-4dc2-b945-b31b15bd321c","7506424061618",Calcetin Bolsa Sixpar Caballero Jaspe 1 Pz,"Talla: UNITALLA (25cm-29cm) Color: JASPE Composición: 70.9 % poliester, 26.4 % Algodón, 1.9% elastano, 0.8% poliamida No se aceptan cambios físicos ni devoluciones en este tipo de producto.",$139.00,$139.00
heb,"4dc3b6fd-1e8d-4a7a-a9ec-8148213e073d","0655244034412",Juego de Mesa Set de Juegos 3 en 1 Jurassic World 1 pz Juego de Mesa Set de Juegos 3 en 1 Jurassic World  1 Pz,"",$129.00,$129.00
heb,"0215f550-6fb7-4dab-b484-6867117b437b","7502276800047",Puff For Family 1 Pz,"APLIQUE AGUA Y JABON A LA ESPONJA. FROTE LA ESPONJA HASTA OBTENER LA CANTIDAD DE ESPUMA DESEADA. ESPONJA IDEAL PARA EXFOLIAR LA PIEL, ELIMINAR CÉLULAS MUERTA, DANDO VITALIDAD Y FRESCURA",$18.00,$18.00
heb,d56e0211-8cd8-436f-952a-10f6d2873894,"7503026326176",Cable Hdmi 4k Ultra Hd 2m 1 Pz,   Tipo de producto Cable HDMI   Marca Select Power   Modelo HDMI-03       Conectividad HDMI a HDMI   Compatibilidad TV HD. Smart TV. DVD. Codificador digital. Consolas   Tecnología destacada Soporta contenido digital 4K UltraHD   Longitud del cable 2 m   Color Rojo   Garantía del proveedor 5 años   ,$99.90,$99.90
heb,b11c4725-5894-4549-af2e-8025276c861a,"8412497089314",Vaso con Popote 430 Ml Bricks 1 Pz,"",$41.90,$41.90
heb,"83052d7b-f4e4-40a1-a210-61168482b987","0054881017862",Ahmad Tea Té Verde Mago Y Lichi 30g 30 g,"",$96.00,$96.00
heb,e0274e47-2896-400b-86cf-84b8645fcbaa,"7506250909009",Control Remoto Universal Rm-1600 1 Pz,   Tipo de producto Control remoto   Marca Steren   Modelo Universal RM-1600       Compatibilidad TV nec. Aiwa. LG. Samsung. Sony. Philips. Sanyo. Panasonic. Goldstar. Sharp. Toshiba   Color Surtido   Incluye 2 baterías AAA. Base   ,$129.00,$129.00
heb,"110357f4-8f61-41ac-b9f9-75b98d245701","7506250917257",Control Remoto Para Televisiones Inteligentes Y 3 1 Pz,   Tipo de producto Control remoto   Marca Steren   Modelo RM-260       Compatibilidad TV o pantallas. Decodificadores satelitales. Sistemas de TV por cable. DVD. Blu-Ray   Alto 23 cm   Ancho 4.7 cm   Profundidad 2.3 cm   Color Negro   Incluye Instructivo en español e inglés   ,$149.00,$149.00
heb,"04eb59d5-a754-4858-af42-2923c69fce41","0748201038322",Bata Preescolar Cars Multicolor 38 X 50 Cm 1 Pz,"",$104.00,$104.00
heb,"5e09b38a-9c83-41e6-b371-7820412a0018","7506424061526",Tin Tripar Caballero Basico Jpe Pyt 1 Pz,"Talla: UNITALLA (25cm-29cm) Color: JASPE Composición: 96.9% poliester, 2% elastodieno, 1.1% elastano No se aceptan cambios físicos ni devoluciones en este tipo de producto.",$67.90,$67.90
heb,ff7ddabe-f784-482e-9394-8929d066cde8,"7506554124863",Duo Cats Pink Correa Y Collar Pink 1 Pz,"",$412.00,$412.00
heb,e1bb759d-9c10-4982-a3e3-7dab2242e6ad,"0655244041106",Rompecabezas Imágenes Ocultas Marvel Avengers 500 1 Pz,"",$225.00,$225.00
heb,a88090f1-9a1b-46fd-958a-ceac410d1691,"8002522332371",Destapador de Refrescos Imperial 1 Pz,   Tipo de producto Destapador de refrescos   Marca Metaltex       Modelo Imperial   Número de piezas 1   Material Acero inoxidable   Color Plateado   ,$62.90,$62.90
