"store","id","original_ean","original_name","original_description","current_price","promo_price"
Sams,"9b0f6d67-5686-4660-9d50-4a1323d154b0","750109545108",Antiácido Sal de Uvas Picot Polvo Efervescente 60 Sobres de 5 g,"",$224.03,$168.80
Sams,"8f9d5e5e-572d-4ad3-b88c-00233e6edd39","",Queso Fundido La Vaca que Ríe 24 pzas de 19.25 g,"",$121.73,$121.73
Sams,"549acfc1-e4c7-4be8-a608-0803b7a9d4ad","366479804096",Probióticos Sinuberase Colitis 40 Ampolletas,"",$724.28,$724.28
Sams,"72a41d91-c194-49c8-ad38-e996e8d982b7","3842126",Akabar Suspensión 90 ml,"",$203.57,$203.57
Sams,"09618b13-7dab-4a95-b148-560615302bba","502725",Llanta JK Tyre Elanzo 265/60 R18,"","$3,886.37","$3,886.37"
Sams,fc916bf8-4dd8-484b-97fa-3ae7ec8c8d80,"3846763",Livial 2.5 mg con 30 Tabletas,"","$1,120.18","$1,065.97"
Sams,faadf768-0658-4be8-b4e5-fac5d516c422,"72127",Estante Escalera Member's Mark de 4 Niveles,"",$919.67,$715.08
Sams,"7d388f1c-ab74-4bd3-bd38-499d54d9e171","750647510772",Café Soluble Nescafé Taster's Choice Flavors Aroma a Vainilla 250 g,"",$342.70,$342.70
Sams,"48fcfcca-b7d9-4a46-a33d-44504c52aa19","",Libro de Historias y Actividades Berry Hip MICKEY Mickey  Mouse,"",$387.71,$387.71
Sams,e6ef0b46-2ed6-446d-9111-05ea8cef713c,"",Aspirina 3 Cajas de 40 Tabletas c/u,"",$131.96,$131.96
Sams,bdc59565-b16a-4b3a-b8a5-917c2c63c33b,"65024003338",Alliviax 550 mg 20 Tabletas,"",$188.23,$188.23
Sams,c67a916a-8d99-4f16-b539-71ca5560b3e8,"3817066",Antiflu-Des Jr. Jarabe 60 ml,"",$134.01,$134.01
Sams,"1c73d86c-eb1d-452b-9378-e43b4f89641f","8466",Queso Panela FUD Rebanadas Cuadradas 900 gr,"",$172.88,$155.50
