"store","id","original_ean","original_name","original_description","current_price","promo_price"
Soriana,"832e45a6-5109-4acf-8c9b-0d637f9443e0","8850389103166",Bebida Oriental Mogu Mogu sabor Mango Coco 320 ml,"",$50.90,$0.00
Soriana,"6deaa215-d9e2-4c2f-8c15-717aee68b1d1","7501045402406",Lomo Sólido De Atún En Aceite De Oliva Dolores Premium 140g,"",$42.90,$0.00
Soriana,dccad549-4002-4e1f-8d6f-bcccee0b45da,"7501064195013",Cerveza Negra Modelo Oscura  12 Pack Lata 355 ml,"",$239.00,$0.00
Soriana,c5c509a0-e982-4dbc-a8a8-a83e11ae508a,"7501064199875",Cerveza Modelo Noche Especial 6 Pack Lata 355 ml,"",$118.00,$0.00
Soriana,e5f6c3cf-11bd-4e1c-abd5-566617369e66,"7501057710506",Jamón Zwan Pierna 250 Gr,"",$82.90,$0.00
Soriana,df8d36e8-a6d7-425c-9a0a-a4a699d1f153,"0887961951790","Minifigura Mattel Jurassic World 2"" Varios Modelos 1 Pieza","",$29.90,$0.00
Soriana,"0c180a4b-0011-471a-8213-f487f438e50c","0887961935646",Playsets De Acción de Entrada Matchbox,"",$479.00,$0.00
Soriana,e308e695-61b7-4496-88a3-ebc404cedf59,"7501040023477",Jamon Virginia Pavo Fud Paquete 315 g,"",$46.00,$0.00
Soriana,"4729c8bc-4157-4501-85dd-71df4a5acdce","5411281723833",Trufas de Chocolate Duc d&#x27;O leche y nuez 200 g,"",$179.00,$0.00
Soriana,"68bdbf7a-0bdd-432c-9c4c-974088636e5b","7312040050758",Vodka Absolut Mandarin 750 ml,"",$375.00,$337.50
Soriana,"8b324fe8-5c52-446c-830c-915dd25752eb","7702111288645",Cuaderno Profesional Norma Peluches Doble Raya 100Hj,"",$60.50,$0.00
Soriana,"4bde758e-b6d7-4e8f-bd79-15ebbcb8be4c","8413529121071",Vino Tinto Español Viña Arana Gran Reserva Tempranillo 750ml,"","$1,439.00",$0.00
Soriana,de38134a-8626-4e13-944b-7b5cba3ab842,"7503021403636",Mezcal Zignum Añejo 700 ml,"","$1,060.00",$0.00
Soriana,c0093aac-d8af-40b5-aee5-8683679f33b3,"7503016230001",Mezcal Unión Uno Joven Espadín y Cirial 700ml,"",$579.00,$0.00
Soriana,b3939fa0-06bd-4550-a6b5-9e18c2e8e03d,"7501124814052",Co-Diovan 80/12.5mg Tab 30,"","$1,275.00",$0.00
Soriana,"8bf33153-a179-4630-8920-25da6a4ace49","6860840001070",Mezcal Recuerdo De Oaxaca Reposado 750 ml,"",$524.00,$0.00
Soriana,"30b80499-b709-4e8c-abe2-e0aba27baec9","5010993958528",Nerf Super Soaker Twister,"",$649.00,$0.00
Soriana,"63b0b14b-d9df-4b41-9b5c-c63c1a17766f","3393370037415",Seretide Evohal 50/25mcg Aero 120 Dsis,"",$908.00,$0.00
Soriana,"1d25cf23-b80a-4b1d-bd16-696cf7719d07","0014113734066",PISTACHE WONDERFUL 170 GR S/CASCARA,"",$121.00,$0.00
Soriana,"71d6f4b8-e3d3-4b8b-9a84-cc8618b22d8b","5000281055374",Ron Captain Morgan Spiced Gold 700 ml,"",$139.00,$0.00
Soriana,"0ad4ae11-998d-4e6d-8bb8-236927108f14","7501100415174",El Cuernito Especie Mixta 30 Gr Bol 30,"",$15.15,$0.00
Soriana,"5109cd9a-bad4-4dbb-b94a-17b0ba760f63","7501943495760",Depend Femenine Toallas Anatómicas Largas 10 Piezas,"",$62.50,$0.00
Soriana,"0d667a4b-742d-401f-8681-a3c896657231","7501044027624",Volteador Vasconia Ranurado Básico 1 Pieza,"",$77.00,$0.00
Soriana,"61bcaa38-156d-4fa3-a220-d89963996b29","7503009435611",Jarabe De Datil 360 Gr Grun Choice,"",$119.00,$0.00
Soriana,c2286863-04dd-4513-965d-10142be7e260,"0744607008914",Bebida preparada New Mix Cantarito 473 ml,"",$31.50,$0.00
Soriana,"9c3f50ce-ed41-41cc-ab39-a065c3b3ff20","4260423410893",Cerveza Alemana Hofjäger Pilsener 5lt,"",$399.00,$0.00
Soriana,"5dfe2086-8cd3-4e96-a516-8df0b1e42bd1","4052197000390",Cerveza Alemana Benediktiner Weissbier Minike 5lt,"",$399.00,$0.00
Soriana,fa5e038b-7754-4228-8298-05155c4dcb63,"4260423410176",Cerveza Alemana Denninghoffs Weizen 5lt,"",$399.00,$0.00
Soriana,d4ea4ee3-7193-4a7e-bc28-5905509737bc,"7312040040759",Vodka Absolut Raspberry 750 ml,"",$325.00,$292.50
Soriana,fb7f1d1d-3494-4dc7-8104-56e8dd04f5b6,"7503032994406",Vap Absolut + Absolut 375 ml,"",$349.00,$314.10
